"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_EXPANSION_ACTION_RESTORE_CONTENTS","Restore contents","Restore contents","Obnovit obsah","Inhalt wiederherstellen","Восстановить содержимое","Restore contents","Restore contents","Ripristina Contenuti","Restaurar contenido","Restaurer le contenu","恢復內容","Restore contents","Restore contents","还原内容",
"STR_EXPANSION_ACTION_STORE_CONTENTS","Store contents","Store contents","Uložit obsah","Inhalt einlagern","Хранить содержимое","Store contents","Store contents","Immagazzina Contenuti","Almacenar contenido","Ranger le contenu","儲存內容","Store contents","Store contents","存储内容",
"STR_EXPANSION_BASEBUILDING","Expansion Basebuilding","Expansion Basebuilding","Základy základny","Expansion Basebuilding","Expansion строительные материалы","Budowanie Expansion","Expansion Basebuilding","Basebuilding di Expansion","Expansion Basebuilding","Basebuilding Expansion","基地建造擴展","Expansion Basebuilding","Expansion Construção de Base","Expansion 基地建造",
"STR_EXPANSION_BASEBUILDING_CIRCUITBOARD_INSTALLUPGRADE_TIER","Install Upgrade - Tier %1","Install Upgrade - Tier %1","Nainstalovat upgrade - Třída %1","Install Upgrade - Tier %1","Установка улучшения - Уровень %1","Install Upgrade - Tier %1","Install Upgrade - Tier %1","Installa upgrade - Tier %1","Install Upgrade - Tier %1","Install Upgrade - Tier %1","安裝升級 - 層級 %1","Install Upgrade - Tier %1","Install Upgrade - Tier %1","安装升级-层%1",
"STR_EXPANSION_BASEBUILDING_DESC","Expansion Basebuilding","Expansion Basebuilding","Popis základů základny","Expansion Basebuilding","Expansion строительные материалы","Budowanie Expansion","Expansion Basebuilding","Basebuilding di Expansion","Expansion Basebuilding","Basebuilding Expansion","Expansion 基地建造","Expansion Basebuilding","Expansion Construção de Base","Expansion 基地建造",
"STR_EXPANSION_BB_CODE_RESET_CODE","Unscrew Lock","Unscrew Lock","Unscrew Lock","Unscrew Lock","Снять замок","Unscrew Lock","Unscrew Lock","Unscrew Lock","Unscrew Lock","Dévisser le verrou","拆除鎖定","Unscrew Lock","Unscrew Lock","Unscrew Lock",
"STR_EXPANSION_BB_CODE_CLOSE_LOCK","Lock","Lock","Zamknout","Abschließen","Запереть","Lock","Lock","Blocca","Cerrar","Vérrouiller","鎖定","Lock","Lock","锁",
"STR_EXPANSION_BB_CODE_LOCK","Code Lock","Code Lock","Kódový zámek","Codeschloss","Кодовый замок","Zamek Cyfrowy","Kombinációs zár","Lucchetto Elettronico","Cerrojo Electrónico","Serrure à combinaison","密碼鎖","コードロック","Cadeado Digital","密码锁",
"STR_EXPANSION_BB_CODE_LOCK_CHANGE","Change Code","Change Code","Změnit kód","Code ändern","Сменить код","Change Code","Change Code","Cambia Codice","Cambiar Codigo","Changer le code","更改密碼","Change Code","Change Code","更改代码",
"STR_EXPANSION_BB_CODE_LOCK_DESC","A combination lock is a type of locking device in which a sequence of symbols, usually numbers, is used to open the lock.","A combination lock is a type of locking device in which a sequence of symbols, usually numbers, is used to open the lock.","Kombinační zámek je typ zámku, který se otevírá zadáním určité posloupnosti symbolů, obvykle čísel.","Bei einem Codeschloss wird eine Reihenfolge von Symbolen, oft Zahlen, zur Öffnung des Schlosses genutzt.","Кодовый замок - это тип запирающего устройства, в котором для открытия замка используется последовательность символов, обычно цифр.","Zamek cyfrowy jest typem urządzenia zamykającego w które trzeba wprowadzić znaki, zwyczajnie numery, aby otworzyć zamek.","A kombinált zár egy olyan típusú reteszelő eszköz, amelyben a szimbólumok, általában számok sorozatát használják a zár kinyitásához.","Un Lucchetto Elettronico a combinazione è un tipo di periferica di blocco in cui una sequenza di simboli (lettere o numeri solitamente) viene utilizzata per consentire o negare l'accesso e l'apertura del lucchetto stesso.","Una cerradura de combinación es un tipo de dispositivo de bloqueo en el que se utiliza una secuencia de símbolos, generalmente números, para abrir la cerradura.","Une serrure à combinaison est un type de dispositif de verrouillage dans lequel une séquence de symboles, généralement des chiffres, est utilisée pour ouvrir la serrure.","密碼鎖是一種鎖定裝置，其中使用一系列符號，通常是數字，來打開鎖。","コードロックは数字の組み合わせを設定し、正しい組み合わせを合わせる事によって鍵を掛けたり解除したりできます","Um cadeado digital é um tipo de dispositivo de trava no qual uma sequência de símbolos, geralmente números, é usada para abrir a trava.","机械密码锁是一种紧锁装置，利用数字来进行解锁。",
"STR_EXPANSION_BB_CODE_LOCK_ENTER_CODE","Enter Code","Enter Code","Zadejte kód","Code eingeben","Ввести код","Enter Code","Enter Code","Inserisci Codice","Ingrese Codigo","Entrer le code","輸入密碼","Enter Code","Enter Code","输入代码",
"STR_EXPANSION_BB_CODE_LOCK_PIN","Enter PIN(x)","Enter PIN(x)","Zadat PIN (x)","Enter PIN(x)","Введите PIN-код (x)","Enter PIN(x)","Enter PIN(x)","INSERISCI PIN (x)","Enter PIN(x)","Entrez le code PIN(x)","輸入PIN(x)","Enter PIN(x)","Enter PIN(x)","输入 PIN(x)",
"STR_EXPANSION_BB_CODE_LOCK_PUSH","PUSH","PUSH","STISK","PUSH","НАЖМИТЕ","PUSH","PUSH","SPINGI","PUSH","POUSSER","按下","PUSH","PUSH","推",
"STR_EXPANSION_BB_CODE_LOCK_SET_CODE","Set Code","Set Code","Nastavit kód","Code setzen","Задать код","Set Code","Set Code","Imposta codice","Setear Codigo","Définir le code","設定密碼","Set Code","Set Code","设置代码",
"STR_EXPANSION_BB_CODE_SET","Set Code","Set Code","Nastavit kód","Code setzen","Задать код","Set Code","Set Code","Imposta codice","Setear Codigo","Définir le code","設定密碼","Set Code","Set Code","设置代码",
"STR_EXPANSION_BB_CODE_UNLOCK","Unlock","Unlock","Odemknout","Aufschließen","Отпереть","Unlock","Unlock","Sblocca","Abrir","Déverrouiller","解鎖","Unlock","Unlock","开锁",
