LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESESIMP,
STR_EXPANSION_BOOK_BACK,BACK,BACK,ZPĚT,ZURÜCK,НАЗАД,COFNIJ,BACK,INDIETRO,ATRÁS,RETOUR,BACK,VOLTAR,戻る,退回,
STR_EXPANSION_BOOK_CATEGORY_NAME,CATEGORY NAME,CATEGORY NAME,NÁZEV KATEGORIE,KATEGORIE,НАЗВАНИЕ КАТЕГОРИИ,CATEGORY NAME,CATEGORY NAME,NOME CATEGORIA,CATEGORY NAME,NOM DE CATÉGORIE,CATEGORY NAME,CATEGORY NAME,CATEGORY NAME,分类名称,
STR_EXPANSION_BOOK_CRAFTING_INGREDIENT_NAME,NAME,NAME,NÁZEV,NAME,ИМЯ,NAME,NAME,NOME,NAME,NOM,NAME,NAME,NAME,姓名,
STR_EXPANSION_BOOK_CRAFTING_INGREDIENT_ONE,Ingredient One,Ingredient One,Surovina jedna,Zutat,Первый ингредиент,Ingredient One,Ingredient One,Ingrediente Uno,Ingredient One,Ingrédient Un,Ingredient One,Ingredient One,Ingredient One,成分一,
STR_EXPANSION_BOOK_CRAFTING_INGREDIENT_TWO,Ingredient Two,Ingredient Two,Surovina dvě,Zutat,Ингредиент второй,Ingredient Two,Ingredient Two,Ingrediente Due,Ingredient Two,Ingrédient Deux,Ingredient Two,Ingredient Two,Ingredient Two,成分二,
STR_EXPANSION_BOOK_CRAFTING_ITEMNAME,Item Name,Item Name,Název předmětu,Gegenstand,Название предмета,Item Name,Item Name,Nome Oggetto,Item Name,Nom de l'article,Item Name,Item Name,Item Name,项目名称,
STR_EXPANSION_BOOK_CRAFTING_PREPARE,Prepare Crafting,Prepare Crafting,Připravit výrobu,Vorbereitung,Подготовьте крафт,Prepare Crafting,Prepare Crafting,Preparazione,Prepare Crafting,Préparer le Craft,Prepare Crafting,Prepare Crafting,Prepare Crafting,准备制作,
STR_EXPANSION_BOOK_CRAFTING_YOU_GET,You get:,You get:,Získáte:,Du erhälst:,Вы получите:,You get:,You get:,Ottieni:,You get:,Vous obtenez:,You get:,You get:,You get:,你得到：,
STR_EXPANSION_BOOK_GROUP_ALLOW_INVITES,ALLOW INVITES,ALLOW INVITES,POVOLIT POZVÁNKY,EINLADUNGEN ERLAUBEN,РАЗРЕШИТЬ ПРИГЛАШЕНИЯ,POZWÓL NA ZAPROSZENIA,ALLOW INVITES,PERMETTI INVITI,PERMITIR INVITACIONES,AUTORISER LES INVITATIONS,ALLOW INVITES,PERMITIR CONVITE,招待の許可,允许邀请,
STR_EXPANSION_BOOK_GROUP_BLOCK_INVITES,BLOCK INVITES,BLOCK INVITES,BLOKOVAT POZVÁNKY,EINLADUNGEN BLOCKIEREN,ЗАБЛОКИРОВАТЬ ПРИГЛАШЕНИЯ,ZABLOKUJ ZAPROSZENIA,BLOCK INVITES,BLOCCA INVITI,BLOQUEAR INVITACIONES,BLOQUER LES INVITATIONS,BLOCK INVITES,BLOQUEAR CONVITE,招待のブロック,禁止邀请,
STR_EXPANSION_BOOK_GROUP_CREATE_BUTTON_LABEL,CREATE,CREATE,VYTVOŘ,ERSTELLEN,СОЗДАТЬ,STWÓRZ,CREATE,CREA,CREAR GRUPO,CRÉÉR,CREATE,CRIAR,作成,创建,
STR_EXPANSION_BOOK_GROUP_CREATE_TITLE_LABEL,GROUP NAME:,GROUP NAME:,NÁZEV SKUPINY:,GRUPPENNAME:,НАЗВАНИЕ ГРУППЫ:,NAZWA GRUPY:,GROUP NAME:,NOME GRUPPO:,NOMBRE DE GRUPO:,NOM DU GROUPE:,GROUP NAME:,NOME DO GRUPO:,グループ名：,群组名：,
STR_EXPANSION_BOOK_GROUP_DELETE,DELETE,DELETE,SMAZAT,LÖSCHEN,УДАЛИТЬ,USUŃ,DELETE,ELIMINA,BORRAR,SUPPRIMER,DELETE,DELETAR,テリトリーを消滅させる,删除,
STR_EXPANSION_BOOK_GROUP_DELETE_GROUP,Are you sure you want to delete this party? This can't be undone!,Are you sure you want to delete this party? This can't be undone!,"Jste si jisti, že chcete tuto skupinu rozpustit? Toto nelze vrátit zpět!",Möchten du diese Gruppe wirklich löschen? Dies kann nicht rückgängig gemacht werden!,"Вы уверены, что хотите удалить эту группу? Это нельзя отменить!",Are you sure you want to delete this party? This can't be undone!,Are you sure you want to delete this party? This can't be undone!,Sicuro di voler cancellare questo gruppo? Non puoi annullare!,Estas seguro que deseas borrar el grupo? Esta accion no puede deshacerse.,Voulez-vous vraiment supprimer ce groupe ? Cette action ne peut pas être annulé !,Are you sure you want to delete this party? This can't be undone!,Are you sure you want to delete this party? This can't be undone!,Are you sure you want to delete this party? This can't be undone!,您确定要删除此派对吗？ 这是无法撤消的！,
STR_EXPANSION_BOOK_GROUP_DISSOLVE,DISSOLVE,DISSOLVE,ROZPUSTIT,AUFLÖSEN,РАСПУСТИТЬ,ROZWIĄŻ,DISSOLVE,SCIOGLI,DISOLVER,DISSOUDRE,DISSOLVE,DESFAZER GRUPO,解散,解除,
STR_EXPANSION_BOOK_GROUP_ENTER_PARTYNAME,Please give your party a name:,Please give your party a name:,Zadejte název vaší skupiny:,Bitte gib deiner Gruppe einen Namen:,"Пожалуйста, дайте название вашей группе:",Please give your party a name:,Please give your party a name:,Dai un nome al tuo gruppo:,Por favor da un nombre a tu grupo:,Veuillez donner un nom à votre groupe :,Please give your party a name:,Please give your party a name:,Please give your party a name:,请给你的派对起个名字：,
STR_EXPANSION_BOOK_GROUP_ENTER_PARTYTAG,Please give your party a tag:,Please give your party a tag:,Zadejte zkratku vaší skupiny:,Please give your party a tag:,"Пожалуйста, дайте своей группе тег:",Please give your party a tag:,Please give your party a tag:,Please give your party a tag:,Please give your party a tag:,Please give your party a tag:,Please give your party a tag:,Please give your party a tag:,Please give your party a tag:,Please give your party a tag:,
STR_EXPANSION_BOOK_GROUP_GROUP,GROUP,GROUP,SKUPINA,GRUPPE,ГРУППУ,GRUPA,GROUP,GRUPPO,GRUPO,GROUPE,GROUP,GRUPO,グループ,群组,
STR_EXPANSION_BOOK_GROUP_ID,GROUP ID:,GROUP ID:,ID SKUPINY:,GRUPPEN ID:,ID ГРУППЫ:,GROUP ID:,GROUP ID:,ID GRUPPO:,ID DE GRUPO:,ID DU GROUPE:,GROUP ID:,GROUP ID:,GROUP ID:,群组 ID:,
STR_EXPANSION_BOOK_GROUP_INVITE,INVITE,INVITE,POZVAT,EINLADEN,ПРИГЛАСИТЬ,ZAPROŚ,INVITE,INVITA,INVITAR,INVITER,INVITE,CONVITE,招待,邀请成员,
STR_EXPANSION_BOOK_GROUP_INVITES_LIST_TITLE,GROUP INVITES,GROUP INVITES,POZVÁNKY DO SKUPIN,GRUPPENEINLADUNGEN,ПРИЛАШЕНИЯ В ГРУППУ,ZAPROSZENIA GRUPY,GROUP INVITES,INVITI DI GRUPPO,INVITACIONES DE GRUPO,INVITATIONS DE GROUPE,GROUP INVITES,CONVITES PARA GRUPO,グループ招待,组队邀请,
STR_EXPANSION_BOOK_GROUP_INVITE_LIST_TITLE,INVITE MEMBERS,INVITE MEMBERS,POZVI DO SKUPINY,MITGLIEDER EINLADEN,ПРИГЛАСИТЬ УЧАСТНИКОВ,ZAPROŚ CZŁONKÓW,INVITE MEMBERS,INVITA MEMBRI,INVITAR MIEMBRO,INVITER DES MEMBRES,INVITE MEMBERS,CONVIDAR MEMBROS,メンバーを招待,邀请成员,
STR_EXPANSION_BOOK_GROUP_INVITE_NOPLAYERS,No Players Online,No Players Online,Žádní hráči online,Keine Spieler Online,Нет игроков онлайн,No Players Online,No Players Online,Nessun Giocatore Online,No hay jugadores conectados.,Aucun Joueur en ligne,No Players Online,No Players Online,No Players Online,没有玩家在线,
