"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_EXPANSION_ACCEPT","ACCEPT","ACCEPT","PŘIJMOUT","AKZEPTIEREN","ПРИНЯТЬ","ACCEPT","ACCEPT","ACCETTA","ACEPTAR","ACCEPTER","接受","ACCEPT","ACCEPT","接受/同意",
"STR_EXPANSION_ACTION_RESTORE","Restore","Restore","Obnovit","Wiederherstellen","Восстановить","Restore","Restore","Ripristina","Restaurar","Restaurer","恢復","Restore","Restore","恢复",
"STR_EXPANSION_ACTION_STORE","Store","Store","Uložit","Einlagern","Хранить","Store","Store","Immagazzina","Almacenar","Ranger","儲存","Store","Store","存储",
"STR_EXPANSION_ADMIN","Admin","Admin","Admin","Administrator","Админ","Admin","Admin","Amministratore","Administrador","Administrateur","管理員","Admin","Admin","管理员",
"STR_EXPANSION_BANKNOTES_EURO","Euro Banknotes Stack","Euro Banknotes Stack","Balíček euro bankovek","Euro Banknoten","Пачка банкнот евро","Euro Banknotes Stack","Euro Banknotes Stack","Mazzetto di Euro in Banconota","Euro Banknotes Stack","Pile de billets en Euros","歐元鈔票堆疊","Euro Banknotes Stack","Euro Banknotes Stack","欧元钞票堆",
"STR_EXPANSION_BANKNOTES_EURO_DESC","A stack of Euro Banknotes","A stack of Euro Banknotes","Balíček euro bankovek","Ein Stapel Euro Banknoten","Пачка банкнот евро","A stack of Euro Banknotes","A stack of Euro Banknotes","Un Mazzettod di Euro in Carta","A stack of Euro Banknotes","Une pile de billets en Euros","歐元鈔票的堆疊","A stack of Euro Banknotes","A stack of Euro Banknotes","一叠欧元钞票",
"STR_EXPANSION_BANKNOTES_HRYVNIA","Hryvnia Banknotes Stack","Hryvnia Banknotes Stack","Balíček hřivenních bankovek","Hryvnia Banknoten","Пачка гривневых банкнот","Hryvnia Banknotes Stack","Hryvnia Banknotes Stack","Mazzetto di Hryvnia in Banconota","Hryvnia Banknotes Stack","Pile de billets en Hryvnia","HRYVNIA鈔票堆疊","Hryvnia Banknotes Stack","Hryvnia Banknotes Stack","格里夫尼亚钞票堆",
"STR_EXPANSION_BANKNOTES_HRYVNIA_DESC","A stack of Hryvnia Banknotes","A stack of Hryvnia Banknotes","Balíček hřivenních bankovek","Ein Stapel Hryvnia Banknoten","Пачка гривневых банкнот","A stack of Hryvnia Banknotes","A stack of Hryvnia Banknotes","Un Mazzetto di Hryvnia in Carta","A stack of Hryvnia Banknotes","Une pile de billets en Hryvnia","HRYVNIA鈔票的堆疊","A stack of Hryvnia Banknotes","A stack of Hryvnia Banknotes","一叠格里夫尼亚钞票",
"STR_EXPANSION_BANKNOTES_USD","USD Banknotes Stack","USD Banknotes Stack","Balíček USD bankovek","US Dollar Banknoten","Пачка банкнот доллара США","USD Banknotes Stack","USD Banknotes Stack","Mazzetto di Dollari in Banconota","USD Banknotes Stack","Pile de billets en Dollars américains","美元鈔票堆疊","USD Banknotes Stack","USD Banknotes Stack","美元钞票堆",
"STR_EXPANSION_BANKNOTES_USD_DESC","A stack of USD Banknotes","A stack of USD Banknotes","Balíček USD bankovek","Ein Stapel US Dollar Banknoten","Пачка банкнот долларов США","A stack of USD Banknotes","A stack of USD Banknotes","Un mazzetto di Dollari in carta","A stack of USD Banknotes","Une pile de billets en Dollars américains","美元鈔票的堆疊","A stack of USD Banknotes","A stack of USD Banknotes","一叠美元钞票",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STATS_DAYS","Days","Days","Dny","Tage","Дней","Days","Days","Giorni","Dias","Jours","日","Days","Days","天",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STATS_GRAMS","Grams","Grams","Gramy","Gramm","Граммы","Grams","Grams","Grammi","Gramos","Grammes","克","Grams","Grams","克",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STATS_HOURS","Hours","Hours","Hodiny","Stunden","Часов","Hours","Hours","Ore","Horas","Heures","小時","Hours","Hours","小时",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STATS_KG","Kg","Kg","Kg","Kilogramm","Кг","Kg","Kg","Kg","Kg","Kg","公斤","Kg","Kg","公斤",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STATS_KILLS","Kills","Kills","Zabití","Kills","Убийства","Kills","Kills","Uccisioni","Muertes","Tués","擊殺數","Kills","Kills","杀戮",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STATS_KM","Km","Km","Km","Kilometer","Км","Km","Km","Km","Km","Km","公里","Km","Km","公里",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STATS_METERS","Meters","Meters","Metrů","Meter","Метров","Meters","Meters","Metri","Metros","Mètres","公尺","Meters","Meters","仪表",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STATS_MINUTES","Minutes","Minutes","Minut","Minuten","Минут","Minutes","Minutes","Minuti","Minutos","Minutes","分鐘","Minutes","Minutes","分钟",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STATS_SECONDS","Seconds","Seconds","Sekund","Sekunden","Секунд","Seconds","Seconds","Secondi","Segundos","Secondes","秒","Seconds","Seconds","秒",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STAT_AI_KILLS","AI KILLS:","AI KILLS:","AI KILLS:","AI KILLS:","УБИТО ИИ:","AI KILLS:","AI KILLS:","AI KILLS:","AI KILLS:","AI TUÉES:","AI KILLS:","AI KILLS:","AI KILLS:","AI杀人:",
"STR_EXPANSION_BOOK_STATUS_CHARACTER_STAT_ANIMAL_KILLS","ANIMAL KILLS:","ANIMAL KILLS:","ZABITÁ ZVÍŘATA:","GETÖTETE TIERE:","УБИТО ЖИВОТНЫХ:","ZABITE ZWIERZĘTA:","ANIMAL KILLS:","UCCISIONI DI ANIMALI:","ANIMALES MUERTOS","ANIMAUX TUÉS:","動物擊殺數：","ANIMAL KILLS:","ANIMAIS MORTOS:","动物击杀：",
