LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESESIMP,
STR_EXPANSION_GARAGE_ACTION,Open Garage,Open Garage,Open Garage,Open Garage,Открыть гараж,Open Garage,Open Garage,Apri Garage,Open Garage,Ouvrir Garage,Open Garage,Open Garage,Open Garage,打开车库,
STR_EXPANSION_GARAGE_ERROR,GARAGE ERROR,GARAGE ERROR,GARAGE ERROR,GARAGE ERROR,ОШИБКА ГАРАЖА,GARAGE ERROR,GARAGE ERROR,ERRORE GARAGE,GARAGE ERROR,ERREUR GARAGE,GARAGE ERROR,GARAGE ERROR,GARAGE ERROR,车库错误,
STR_EXPANSION_GARAGE_ERROR_BLOCKED,%1: Position is blocked by another object (%2 at %3).,%1: Position is blocked by another object (%2 at %3).,%1: Position is blocked by another object (%2 at %3).,%1: Position is blocked by another object (%2 at %3).,%1: Место спавна заблокировано другим объектом (%2 на %3).,%1: Position is blocked by another object (%2 at %3).,%1: Position is blocked by another object (%2 at %3).,%1: Bloccato da un altro oggetto (%2 a %3),%1: Position is blocked by another object (%2 at %3).,%1 : la position est bloquée par un autre objet (%2 à %3).,%1: Position is blocked by another object (%2 at %3).,%1: Position is blocked by another object (%2 at %3).,%1: Position is blocked by another object (%2 at %3).,无法检索车辆%1。繁殖位置被其他对象阻止！%2,
STR_EXPANSION_GARAGE_ERROR_CARGO,Can't store vehicle %1. Storing vehicles with cargo items is not allowed!,Can't store vehicle %1. Storing vehicles with cargo items is not allowed!,Can't store vehicle %1. Storing vehicles with cargo items is not allowed!,Can't store vehicle %1. Storing vehicles with cargo items is not allowed!,Невозможно сохранить транспортное средство %1. Хранение автомобилей с грузом запрещено!,Can't store vehicle %1. Storing vehicles with cargo items is not allowed!,Can't store vehicle %1. Storing vehicles with cargo items is not allowed!,Impossibile immagazzinare il veicolo %1. Non si possono salvare veicoli con cargo in inventario!,Can't store vehicle %1. Storing vehicles with cargo items is not allowed!,Impossible de stocker le véhicule %1. Le stockage de véhicules avec des articles de fret n'est pas autorisé !,Can't store vehicle %1. Storing vehicles with cargo items is not allowed!,Can't store vehicle %1. Storing vehicles with cargo items is not allowed!,Can't store vehicle %1. Storing vehicles with cargo items is not allowed!,无法存储车辆%1。不允许存储带有货物的车辆！,
STR_EXPANSION_GARAGE_ERROR_CREW,Can't store vehicle %1. There is a player in the vehicle!,Can't store vehicle %1. There is a player in the vehicle!,Can't store vehicle %1. There is a player in the vehicle!,Can't store vehicle %1. There is a player in the vehicle!,Не удается сохранить транспортное средство %1. В транспортном средстве находится игрок!,Can't store vehicle %1. There is a player in the vehicle!,Can't store vehicle %1. There is a player in the vehicle!,Impossibile immagazzinare il veicolo %1. C'è un giocatore nel veicolo!,Can't store vehicle %1. There is a player in the vehicle!,Impossible de stocker le véhicule %1. Il y a un joueur dans le véhicule !,Can't store vehicle %1. There is a player in the vehicle!,Can't store vehicle %1. There is a player in the vehicle!,Can't store vehicle %1. There is a player in the vehicle!,无法存储车辆%1。车辆中有玩家！,
STR_EXPANSION_GARAGE_ERROR_DESTROYED,Can't store vehicle %1. Vehicle is destroyed!,Can't store vehicle %1. Vehicle is destroyed!,Can't store vehicle %1. Vehicle is destroyed!,Can't store vehicle %1. Vehicle is destroyed!,Не удается сохранить автомобиль %1. Транспортное средство уничтожено!,Can't store vehicle %1. Vehicle is destroyed!,Can't store vehicle %1. Vehicle is destroyed!,Impossibile immagazzinare il veicolo %1. Veicolo distrutto!,Can't store vehicle %1. Vehicle is destroyed!,Impossible de stocker le véhicule %1. Le véhicule est détruit !,Can't store vehicle %1. Vehicle is destroyed!,Can't store vehicle %1. Vehicle is destroyed!,Can't store vehicle %1. Vehicle is destroyed!,无法存储车辆%1。车辆已销毁！,
STR_EXPANSION_GARAGE_ERROR_FREESPACE,Can't store vehicle %1 because the spot is already taken by another stored vehicle (%2).,Can't store vehicle %1 because the spot is already taken by another stored vehicle (%2).,Can't store vehicle %1 because the spot is already taken by another stored vehicle (%2).,Can't store vehicle %1 because the spot is already taken by another stored vehicle (%2).,"Невозможно сохранить автомобиль %1, потому что это место уже занято другим сохраненным автомобилем (%2).",Can't store vehicle %1 because the spot is already taken by another stored vehicle (%2).,Can't store vehicle %1 because the spot is already taken by another stored vehicle (%2).,Impossibile immagazzinare il veicolo %1 perchè lo spot è già preso da un altro veicolo immagazzinato (%2),Can't store vehicle %1 because the spot is already taken by another stored vehicle (%2).,Impossible de stocker le véhicule %1 car la place est déjà occupée par un autre véhicule stocké (%2).,Can't store vehicle %1 because the spot is already taken by another stored vehicle (%2).,Can't store vehicle %1 because the spot is already taken by another stored vehicle (%2).,Can't store vehicle %1 because the spot is already taken by another stored vehicle (%2).,无法存储车辆%1。车辆周围没有足够的可用空间！,
STR_EXPANSION_GARAGE_ERROR_KEY,Can't store vehicle %1. Can only store vehicles with a paired key!,Can't store vehicle %1. Can only store vehicles with a paired key!,Can't store vehicle %1. Can only store vehicles with a paired key!,Can't store vehicle %1. Can only store vehicles with a paired key!,Невозможно сохранить автомобиль %1. Можно сохранять только автомобили с сопряженным ключом!,Can't store vehicle %1. Can only store vehicles with a paired key!,Can't store vehicle %1. Can only store vehicles with a paired key!,Impossibile immagazzinare il veicolo %1. Si possono immagazzinare solo veicoli con chiave accoppiata!,Can't store vehicle %1. Can only store vehicles with a paired key!,Impossible de stocker le véhicule %1. Ne peut stocker que des véhicules avec une clé jumelée !,Can't store vehicle %1. Can only store vehicles with a paired key!,Can't store vehicle %1. Can only store vehicles with a paired key!,Can't store vehicle %1. Can only store vehicles with a paired key!,无法存储车辆%1。只能存储带有配对钥匙的车辆！,
STR_EXPANSION_GARAGE_ERROR_PRICE,Can't store vehicle %1. Not enough money to store vehicle. Storing this vehicle costs %2. You have %3.,Can't store vehicle %1. Not enough money to store vehicle. Storing this vehicle costs %2. You have %3.,Can't store vehicle %1. Not enough money to store vehicle. Storing this vehicle costs %2. You have %3.,Can't store vehicle %1. Not enough money to store vehicle. Storing this vehicle costs %2. You have %3.,Не удается сохранить автомобиль %1. Не хватает денег для хранения автомобиля. Хранение этого автомобиля стоит %2. У вас есть %3.,Can't store vehicle %1. Not enough money to store vehicle. Storing this vehicle costs %2. You have %3.,Can't store vehicle %1. Not enough money to store vehicle. Storing this vehicle costs %2. You have %3.,"Impossibile immagazzinare il veicolo %1. Soldi non sufficienti. Immagazzinare costa %2, tu hai %3",Can't store vehicle %1. Not enough money to store vehicle. Storing this vehicle costs %2. You have %3.,Impossible de stocker le véhicule %1. Pas assez d'argent pour entreposer le véhicule. Le stockage de ce véhicule coûte %2. Vous avez %3.,Can't store vehicle %1. Not enough money to store vehicle. Storing this vehicle costs %2. You have %3.,Can't store vehicle %1. Not enough money to store vehicle. Storing this vehicle costs %2. You have %3.,Can't store vehicle %1. Not enough money to store vehicle. Storing this vehicle costs %2. You have %3.,无法存储车辆%1。没有足够的资金存储车辆。存储此车辆需要%2。您有%3。,
STR_EXPANSION_GARAGE_ERROR_RETRIEVED,Can't retrieve vehicle %1. Can't find stored vehicle. Vehicle has already been retrieved?!,Can't retrieve vehicle %1. Can't find stored vehicle. Vehicle has already been retrieved?!,Can't retrieve vehicle %1. Can't find stored vehicle. Vehicle has already been retrieved?!,Can't retrieve vehicle %1. Can't find stored vehicle. Vehicle has already been retrieved?!,Не удается получить автомобиль %1. Не удается найти сохраненный автомобиль. Автомобиль уже был извлечен?!,Can't retrieve vehicle %1. Can't find stored vehicle. Vehicle has already been retrieved?!,Can't retrieve vehicle %1. Can't find stored vehicle. Vehicle has already been retrieved?!,Impossibile recuperare il veicolo %1. Impossibile trovarlo! Che sia stato già recuperato?,Can't retrieve vehicle %1. Can't find stored vehicle. Vehicle has already been retrieved?!,Impossible de récupérer le véhicule %1. Impossible de trouver le véhicule stocké. Le véhicule a déjà été récupéré ?!,Can't retrieve vehicle %1. Can't find stored vehicle. Vehicle has already been retrieved?!,Can't retrieve vehicle %1. Can't find stored vehicle. Vehicle has already been retrieved?!,Can't retrieve vehicle %1. Can't find stored vehicle. Vehicle has already been retrieved?!,无法检索车辆%1。找不到存储的车辆。车辆已经取回？！,
