"LANGUAGE","ORIGINAL","ENGLISH","CZECH","GERMAN","RUSSIAN","POLISH","HUNGARIAN","ITALIAN","SPANISH","FRENCH","CHINESE","PORTUGUESE","JAPANESE","CHINESESIMP",
"STR_EXPANSION_PARTY_CANTEDIT","You lack the permissions to edit party members.","You lack the permissions to edit party members.","Chybí ti oprávnění k úpravě členů skupiny.","Dir fehlt die Berechtigung, um Gruppenmitglieder zu bearbeiten!","У вас нет прав на редактирование игроков группы.","You lack the permissions to edit party members.","You lack the permissions to edit party members.","You lack the permissions to edit party members.","No tienes permisos para editar los miembros del grupo.","Vous n'avez pas le droit de modifier les membres du groupe.","You lack the permissions to edit party members.","You have no rights to edit any party members.","You lack the permissions to edit party members.","您无权编辑任何玩家。",
"STR_EXPANSION_PARTY_ERROR_CANT_PROMOTE_OWNER","You can't promote the owner of a group!","You can't promote the owner of a group!","Nemůžeš povýšit vlastníka skupiny!","Du kannst den Besitzer einer Gruppe nicht befördern!","Вы не можете продвигать владельца группы!","You cant promote the owner of a group!","You cant promote the owner of a group!","Non puoi promuovere il proprietario di un gruppo!","¡No puedes ascender al lider de un grupo!","Vous ne pouvez pas promouvoir le propriétaire d'un groupe!","You can't promote the owner of a group!","You cant promote the owner of a group!","You cant promote the owner of a group!","你不能提升群的所有者！",
"STR_EXPANSION_PARTY_ERROR_INVITE","Something went wrong. Could not create invite!","Something went wrong. Could not create invite!","Něco se pokazilo. Není možné vytvořit pozvánku!","Etwas ist schief gelaufen. Einladung konnte nicht versendet werden!","Что-то пошло не так. Не удалось создать приглашение!","Something went wrong. Could not create invite!","Something went wrong. Could not create invite!","Qualcosa è andato storto. Impossibile creare l'invito!","Algo salio mal. No se puede crear invitacion!","Quelque chose s'est mal passé. Impossible de créer l'invitation !","Something went wrong. Could not create invite!","Something went wrong. Could not create invite!","Something went wrong. Could not create invite!","出了问题。无法创建邀请！",
"STR_EXPANSION_PARTY_ERROR_INVITED","Player has been already invited into this party!","Player has been already invited into this party!","Hráč byl již pozván do této skupiny!","Dieser Spieler wurde bereits in diese Gruppe eingeladen!","Игрок уже приглашен в эту группу!","Player has been already invited into this party!","Player has been already invited into this party!","Il giocatore è già stato invitato in questo gruppo!","El jugador ya ha sido invitado a este grupo!","Le joueur a déjà été invité à ce groupe !","Player has been already invited into this party!","Player has been already invited into this party!","Player has been already invited into this party!","玩家已被邀请参加此聚会！",
"STR_EXPANSION_PARTY_ERROR_IN_PARTY","Player is already in a group!","Player is already in a group!","Hráč již patří do nějaké skupiny!","Dieser Spieler ist bereits in einer Gruppe!","Игрок уже состоит в группе!","Gracz jest już w grupie!","A játékos már csapatban van!","Il giocatore è già in un gruppo","¡el jugador ya esta en un grupo!","Le joueur est déja dans un groupe !","Player is already in a group!","O jogador já está em um grupo.","プレーヤーは既にグループに属しています!","玩家已经在一个组中！",
"STR_EXPANSION_PARTY_ERROR_MAX_PARTY","Group is already full (Max. %1 players per group).","Group is already full (Max. %1 players per group).","Skupina již dosáhla maximální velikosti (maximální počet je %1).","Diese Gruppe ist voll (max. %1 Spieler pro Gruppe!)","Группа уже заполнена (макс. %1 игроков в группе)","Grupa jest już pełna (Maks. %1 graczy w grupie)","A csapat megtelt (Maximum %1 játékos lehet egy csapatban)","Il gruppo è già pieno! (Max %1 giocatori per gruppo)","¡El grupo esta lleno! (maximo %1 jugadores por grupo)","Le groupe est déja plein (Max. %1 joueur par groupe)","Group is already full (Max. %1 players per group).","O grupo está cheio! (máximo. %1 jogadores no grupo)","グループは満員です (各グループは最大 %1 人までです)","群组成员已满。 (每个组最大值为 %1)",
"STR_EXPANSION_PARTY_ERROR_NAME_USED","Group name already in use!","Group name already in use!","Název skupiny je již používán!","Dieser Gruppenname wird bereits benutzt!","Название группы уже используется!","Nazwa grupy jest już używana!","A csapatnév már foglalt!","Questo nome è già in uso!","¡El nombre de ese grupo ya esta en uso!","Ce nom de groupe est déjà utilisé !","Group name already in use!","Esse nome de grupo já está em uso.","グループ名は既に使用されています!","组名称已在使用中！",
"STR_EXPANSION_PARTY_ERROR_NOT_EXIST","Party does not exist!","Party does not exist!","Skupina neexistuje!","Der Spieler existiert nicht!","Группа не существует!","Grupa nie istnieje!","Party does not exist!","Il gruppo non esiste!","¡El grupo no existe!","Le groupe n'existe pas !","Party does not exist!","O grupo não existe!","Party does not exist!","聚会不存在！",
"STR_EXPANSION_PARTY_ERROR_NOT_OWNER","You are not the owner of this group!","You are not the owner of this group!","Nejsi vlastníkem této skupiny!","Du bist nicht der Besitzer dieser Gruppe!","Вы не создатель этой группы!","Nie jesteś liderem tej grupy!","Nem te vagy a csoport tulajdonosa!","Non sei proprietario di questo gruppo!","¡No eres el propietario de ese grupo!","Tu n'es pas propriétaire de ce groupe !","You are not the owner of this group!","Você não é o líder deste grupo!","あなたはこのグループのオーナーではありません!","您不是此群的所有者！",
"STR_EXPANSION_PARTY_ERROR_PLAYERBASE","Could not get players entity!","Could not get players entity!","Nelze získat informace o entitě hráče!","Konnte Spieler-Objekt nicht finden!","Не смогли получить игроков!","Could not get players entity!","Could not get players entity!","Impossibile recuperare l'entità Giocatore","No se puede obtener la identidad del jugador!","Could not get players entity!","Could not get players entity!","Could not get players entity!","Could not get players entity!","无法获取玩家实体！",
