"LANGUAGE","ORIGINAL","ENGLISH","CZECH","GERMAN","RUSSIAN","POLISH","HUNGARIAN","ITALIAN","SPANISH","FRENCH","CHINESE","PORTUGUESE","JAPANESE","CHINESESIMP",
"STR_EXPANSION_AIRDROP","Airdrop","Airdrop","Výsadek","Airdrop","Сброс груза","Zrzut","Airdrop","Airdrop","Suministros aéreos","Largague aérien","空投","Caixa de Suprimentos","エアードロップ","空投",
"STR_EXPANSION_BARBEDWIRE_KIT","Barbed Wire Kit","Barbed Wire Kit","Sada ostnatého drátu","Stacheldraht-Set","Комплект колючей проволоки","Barbed Wire Kit","Barbed Wire Kit","Kit Filo Spinato","Kit de alambre de espino","Kit de barbelés","鐵絲網套件","Barbed Wire Kit","Barbed Wire Kit","铁丝网套件",
"STR_EXPANSION_BASEBUILDING_AIRDROP","Basebuilding Airdrop","Basebuilding Airdrop","Základní Airdrop","Basenbau-Airdrop","Сброс строительных материалов","Basebuilding Airdrop","Basebuilding Airdrop","Airdrop di Costruzione","Airdrop de Construccion","Largage aérien basebuilding","基地建造空投","Caixa de Suprimentos de Base","Basebuilding Airdrop","建筑空投",
"STR_EXPANSION_CAMO_BOX","Camo box","Camo box","Maskovací střecha","Camouflagebox","Ящик с маскировочной сеткой","Skrzynka z Kamuflażem","Camo doboz","Box Mimetico","Caja camuflada","Boîte camo","迷彩箱","Caixa Camuflada","明細色ボックス","迷彩盒",
"STR_EXPANSION_CAMO_BOX_DESC","Camo box tent","Camo box tent","Vhodná pro ukrytí vozidla.","Camouflage Boxzelt","Ящик с маскировочной сеткой для установки в качестве тента","Skrzynka Z Kamuflażem Do Namiotu","Camo sátor (doboz alakú)","Una tenda composta di rete mimetica","Caja de tienda de camuflaje","Tente Camo boîte","迷彩箱帳篷","Caixa de Tenda Camuflada","明細色ボックステント","迷彩盒帐篷",
"STR_EXPANSION_CAMO_TENT","Camo Tent","Camo Tent","Maskovací střecha","Tarnzelt","Камуфлированная палатка","Namiot z kamuflażem","Camo sátor","Tenda Mimetica","Tienda de camuflaje","Tente camo","迷彩帳篷","Tenda Camuflada","迷彩色テント","迷彩帐篷",
"STR_EXPANSION_CAMO_TENT_DESC","A camo tent. Offers a comfortable dry space, with additional cargo space.","A camo tent. Offers a comfortable dry space, with additional cargo space.","Vhodná pro ukrytí vozidla.","Ein Tarnzelt. Bietet einen komfortablen, trockenen Unterschlupf mit zusätzlichem Stauraum.","Камуфлированная палатка. Предоставляет удобное сухое место и дополнительное место для вещей.","A camo tent. Offers a comfortable dry space, with additional cargo space.","A camo tent. Offers a comfortable dry space, with additional cargo space.","Una tenda mimetica. Offre un comodo spazio asciutto, ed una buona quantità di spazio per conservare oggetti.","Una tienda de camuflaje. Ofrece un espacio seco y cómodo, con espacio de carga adicional.","Une tente de camouflage. Offre un espace sec confortable, avec un espace de chargement supplémentaire.","一個迷彩帳篷。提供一個舒適的干燥空間，並附帶額外的貨物空間。","A camo tent. Offers a comfortable dry space, with additional cargo space.","A camo tent. Offers a comfortable dry space, with additional cargo space.","迷彩帐篷。提供舒适的干燥空间，并提供额外的载货空间，居家旅行翻山越野必备好物。",
"STR_EXPANSION_CONE","Cone","Cone","Kužel","Kegel","Конус","Cone","Cone","Cono Stradale","Cono de Señalizacion","Cône","圓錐","Cone","Cone","雪糕筒",
"STR_EXPANSION_CONE_DESC","Cones, are usually cone-shaped markers that are placed on roads or footpaths to temporarily redirect traffic in a safe manner. They are often used to create separation or merge lanes during road construction projects or automobile accidents.","Cones, are usually cone-shaped markers that are placed on roads or footpaths to temporarily redirect traffic in a safe manner. They are often used to create separation or merge lanes during road construction projects or automobile accidents.","Kužely jsou obvykle kuželovitými značkami umístěnými na silnicích nebo chodnících k dočasnému přesměrování dopravy bezpečným způsobem. Jsou často používány k vytváření oddělení nebo sloučení jízdních pruhů během stavebních projektů na silnicích nebo při automobilových nehodách.","Warnkegel sind normalerweise im Straßenverkehr von nutzen. Mit ihnen lässt sich z.B der Verkehr lenken, sowie gefährliche Dinge zu markieren, z.B Baustellen.","Конусы, как правило, представляют собой конусообразные маркеры, которые размещаются на дорогах или пешеходных дорожках для временного безопасного перенаправления движения. Они часто используются для создания разделительных полос или полос слияния во время строительства дорог или автомобильных аварий.","Cones, are usually cone-shaped markers that are placed on roads or footpaths to temporarily redirect traffic in a safe manner. They are often used to create separation or merge lanes during road construction projects or automobile accidents.","Cones, are usually cone-shaped markers that are placed on roads or footpaths to temporarily redirect traffic in a safe manner. They are often used to create separation or merge lanes during road construction projects or automobile accidents.","I coni, solitamente a forma di...cono (Neh?), sono utilizzati su strada per ridirezionare, fermare o rallentare il traffico in sicurezza. Sono spesso usati per dividere o unire corsie di una stessa carreggiata in cantieri o incidenti stradali.","Los conos de señalización se utilizan en carreteras o senderos para redirigir temporalmente el tráfico de manera segura. A menudo se utilizan para crear carriles de separación o unión durante proyectos de construcción de carreteras o accidentes automovilísticos.","Les cônes sont généralement des marqueurs en forme de cône qui sont placés sur les routes ou les sentiers pour rediriger temporairement le trafic de manière sûre. Ils sont souvent utilisés pour créer des voies de séparation ou de fusion lors de projets de construction de routes ou d'accidents automobiles.","圓錐通常是圓錐形的標誌，在道路或人行道上放置，以臨時將交通安全地重新導向。它們通常用於在道路建設項目或汽車事故期間創建分隔或合併車道。","Cones, are usually cone-shaped markers that are placed on roads or footpaths to temporarily redirect traffic in a safe manner. They are often used to create separation or merge lanes during road construction projects or automobile accidents.","Cones, are usually cone-shaped markers that are placed on roads or footpaths to temporarily redirect traffic in a safe manner. They are often used to create separation or merge lanes during road construction projects or automobile accidents.","雪糕筒通常是圆锥形的标记，放置在道路或人行道上，以安全的方式临时重定向交通。它们通常用于在道路建设项目或汽车事故期间创建分隔或合并车道。",
"STR_EXPANSION_GATE","Boom Barrier","Boom Barrier","Závora","Schranke","Шлагбаумные ворота","Rogatka","Boom Barrier","Cancello a Sbarra","Barrera","Barrière de flèche","阻擋柵欄","Cancela de Estacionamento","Boom Barrier","吊杆护栏",
