LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESESIMP,
STR_USRACT_UNPACK_HEROSET,Unpack Hero-Set,Unpack Hero-Set,Rozbalit hero-set,Entpacke Helden-Set,Распаковать набор Героя,Otwórz Zestaw Bohatera,Hős ruhaszett kicsomagolása,Apri Set Eroe,Desempacar Kit de héroe,Déballer le set Héro,打開英雄套裝,Abrir Conjunto de Herói,ヒーローセットを開封,打开英雄套装,
STR_USRACT_UNPACK_BANDITSET,Unpack Bandit-Set,Unpack Bandit-Set,Rozbalit bandit-set,Entpacke Banditen-Set,Распаковать набор Бандита,Otwórz Zestaw Bandyty,Bandita ruhaszett kicsomagolása,Apri Set Bandito,Desempacar Kit de bandido,Déballer le set Bandit,打開土匪套裝,Abrir Conjunto de Bandido,バンディットセットを開封,打开土匪套装,
STR_USRACT_CRAFT_MILK,Craft Milk,Craft Milk,Vytvořit mléko,Milch herstellen,Создать молоко,Stwórz Mleko,Tej készítése,Crea Latte,Preparar Leche,Préparer Lait,製作牛奶,Montar Leite Artesanal,ミルクを作る,制作牛奶,
STR_USRACT_CYCLE_RETICLE,Cycle Reticle,Cycle Reticle,Změna zaměřovače,Fadenkreuz ändern,Сменить метку прицела,Zmień Celownik,Cycle Reticle,Reticolo Successivo,Siguiente reticula,Changer de Viseur,循環十字線,Alterar Retícula,Cycle Reticle,循环十字线,
STR_EXPANSION_CREDITS_LEAD,Project Lead,Project Lead,Vedoucí projektu,Projektleiter,Руководитель проекта,Kierownik Zespołu,Projekt Vezető,Leader Progetto,Líder del proyecto,Leader du projet,項目領導,Líder de Projeto,プロジェクト・リーダー,项目领导,
STR_EXPANSION_CREDITS_SCRIPTERS,Scripters,Scripters,Skripteři,Scripter,Скриптер,Skrypterzy,Szkripterek,Scripters,Desarrolladores,Développeurs,腳本編輯,Roteiristas,スクリプトプログラマー,脚本编辑,
STR_EXPANSION_CREDITS_MAPPING,Enviroment Design,Enviroment Design,Design prostředí,Umgebungsdesigner,Дизайнер окружения,Projektowanie Otoczenia,Környezet Dizájn,Designer Ambienti,Diseño de ambiente,Conception de l'environnement,環境設計,Design de Ambiente,環境デザイン,环境设计,
STR_EXPANSION_CREDITS_PROGRAMMERS,Programmers,Programmers,Programmers,Programmierer,Programmers,Programiści,Programmers,Programmatori,Programmers,Programmers,程序設計,Programadores,Programmers,程序设计,
STR_EXPANSION_CREDITS_3DARTISTS,3D - Artists,3D - Artists,3D grafici,3D-Künstler,3D-художники,Artyści 3D,3D - Modellezők,Artisti 3D,Artistas 3D,Artistes 3D,3D美術,Artistas 3D,3Dアーチスト,3D美术,
STR_EXPANSION_CREDITS_COMMUNITY_MANAGER,Community Manager,Community Manager,Komunitní manažeři,Community-Manager,Комьюнити-менеджер,Manadżer Społeczności,Közösségi Menedzser,Community Manager,Administrador de la Comunidad,Community Manager,社區管理,Gerente de Comunicação,コミュニティー・マネージャー,社区管理,
