LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESESIMP,
STR_EXPANSION_DELETE_MARKER,Delete Map Marker,Delete Map Marker,Vymazat značku,Kartenmarkierung löschen,Удалить метку,Usuń Znacznik Z Mapy,Térkép Marker Törlése,Rimuovi marcatore Mappa,Borrar marcador del mapa,Supprimer un marqueur de carte,刪除地圖標記,Apagar Marcação no Mapa,マップマーカー削除,删除地图标记,
STR_EXPANSION_TOGGLE_MAP,Toggle Map,Toggle Map,Přepnout mapu,Karte umschalten,Карта,Pokaż/Schowaj Mapę,Térkép mutatása,Apri / Chiudi Mappa,Abrir mapa,Basculer la carte,切換地圖,Mapa,マップのトグル,切换地图,
STR_EXPANSION_TOGGLE_COMPASS,Toggle Compass,Toggle Compass,Toggle Compass,Toggle Compass,Toggle Compass,Toggle Compass,Toggle Compass,Attiva / Disattiva Bussola ,Toggle Compass,Basculer la Boussole,切換指南針,Toggle Compass,Toggle Compass,切换指南针,
STR_EXPANSION_TOGGLE_GPS,Toggle GPS,Toggle GPS,Přepnout GPS,GPS umschalten,GPS,Pokaż/Schowaj GPS,GPS mutatása,Apri GPS,Abrir GPS,Basculer le GPS,切換GPS,GPS,GPSのトグル,切换GPS,
STR_EXPANSION_GPS_MAP_SCALE_DOWN,GPS Zoom In,GPS Zoom In,GPS přiblížit,GPS hereinzoomen,GPS Увеличить,GPS Zoom In,GPS Zoom In,GPS Zoom Avanti,Ampliar Zoom en el GPS,Zoom avant GPS,放大GPS,GPS Zoom In,GPS Zoom In,放大GPS,
STR_EXPANSION_GPS_MAP_SCALE_UP,GPS Zoom Out,GPS Zoom Out,GPS oddálit,GPS herauszoomen,GPS Уменьшить,GPS Zoom Out,GPS Zoom Out,GPS Zoom Indietro,Reducir Zoom en el GPS,Zoom arrière GPS,縮小GPS,GPS Zoom Out,GPS Zoom Out,缩小GPS,
STR_EXPANSION_TOGGLE_3D_MARKER,Toggle 3D Marker Visibility,Toggle 3D Marker Visibility,Viditelnost 3D značek,3D-Markierungs-Sichtbarkeit umschalten,Переключить видимость 3D-метки,Ustaw Widoczność Znaczników 3D,Toggle 3D Marker visibility,Mostra / Nascondi Marcatori 3D,Activar visibilidad de los marcadores 3D,Basculer la visibilité des marqueurs 3d,切換3D標記的可視性,LIgar Visibilidade do Chat,Toggle 3D Marker visibility,切换3D标记的可视性,
STR_EXPANSION_QUICK_MARKER,Place a quick marker,Place a quick marker,Place a quick marker,Platziere eine Schnellmarkierung,Поставить быструю метку,Place a quick marker,Place a quick marker,Marcatore Rapido,Poner un marcador rapido,Placez un marqueur rapide,放置一個快速標記,Colocar um Marcador Rápido,Place a quick marker,放置一个快速标记,
STR_EXPANSION_TOGGLE_ONLY_SERVER_MARKERS,Toggle 3D Server Marker Visibility,Toggle 3D Server Marker Visibility,Toggle 3D Server Marker Visibility,3D-Servermarkierungs-Sichtbarkeit umschalten,Переключить видимость 3D-меток сервера,Toggle 3D Server Marker Visibility,Toggle 3D Server Marker Visibility,Mostra / Nscondi Marcatori Server,Activar visibilidad del marcador 3D del servidor,Basucler la Visibilité des marqueurs de serveur 3D,切換3D服務器標記可見性,Toggle 3D Server Marker Visibility,Toggle 3D Server Marker Visibility,切换3D服务器标记可见性,
STR_EXPANSION_MARKER_SYSTEM_TITLE,Marker System,Marker System,Systém Značek,Markierungs-System,Система меток,System Znaczników,Jelölő Rendszer,Gestione Marcatori,Sistema de marcadores,Système de Marqueurs,標記系統,Sistema de Marcações,マーカーシステム,标记系统,
