"LANGUAGE","ORIGINAL","ENGLISH","CZECH","GERMAN","RUSSIAN","POLISH","HUNGARIAN","ITALIAN","SPANISH","FRENCH","CHINESE","PORTUGUESE","JAPANESE","CHINESESIMP",
"STR_EXPANSION_ACTION_COVER","Cover","Cover","Zakrýt","Abdecken","Накрыть","Cover","Cover","Copri","Cover","Couvrir","遮蓋","Cover","Cover","遮盖",
"STR_EXPANSION_ACTION_UNCOVER","Remove cover","Remove cover","Odkrýt","Abdeckung entfernen","Снять кожух","Remove cover","Remove cover","Rimuovi Copertura","Remove cover","Retirer la couverture","移除遮蓋","Remove cover","Remove cover","拆下盖子",
"STR_EXPANSION_AIRCRAFT_BATTERY","Aircraft Battery","Aircraft Battery","Letecká Baterie","Flugzeugbatterie","Аккумулятор для самолёта","Bateria Samolotu","Légijármű akkumulátor","Batteria per Aerei","Bateria de avion","Batterie d'avion","飛機電池","Bateria de Aeronave","航空機バッテリー","飞机电池",
"STR_EXPANSION_BIKE_GEAR_DOWN","Bike Gear Down","Bike Gear Down","Nižšího převod kola","Motorrad runter schalten","Велосипедная передача вниз","Bike Gear Down","Bike Gear Down","Moto marcia giù","Bike Gear Down","Vélo Vitesse Inférieur","自行車檔位降低","Bike Gear Down","Bike Gear Down","自行车装备下降",
"STR_EXPANSION_BIKE_GEAR_UP","Bike Gear Up","Bike Gear Up","Vyšší převod kola","Motorrad hoch schalten","Велосипедная передача вверх","Bike Gear Up","Bike Gear Up","Moto marcia su","Bike Gear Up","Vélo Vitesse Supérieur","自行車檔位提升","Bike Gear Up","Bike Gear Up","自行车装备",
"STR_EXPANSION_BIKE_GENTLE","Bike Accelerate","Bike Accelerate","Rozjíždění kola","Motorrad beschleunigen","Велосипед ускорение","Bike Accelerate","Bike Accelerate","Moto accelera piano","Bike Accelerate","Vélo Accélérer","自行車加速","Bike Accelerate","Bike Accelerate","自行车加速",
"STR_EXPANSION_BIKE_MOVEBACKWARD","Bike Backward","Bike Backward","Zpáteční jízda kola","Motorrad rückwärts","Велосипед задний ход","Bike Backward","Bike Backward","Moto peso indietro","Bike Backward","Vélo Arrière","自行車後退","Bike Backward","Bike Backward","自行车后退",
"STR_EXPANSION_BIKE_MOVEFORWARD","Bike Forward","Bike Forward","Jízda vpřed na kole","Motorrad Vorwärts","Велосипед вперед","Bike Forward","Bike Forward","Moto peso avanti","Bike Forward","Vélo Avant","自行車前進","Bike Forward","Bike Forward","自行车前进",
"STR_EXPANSION_BIKE_ROTATE_LEFT","Bike Left","Bike Left","Otočení kola doleva","Motorrad Links","Велосипед налево","Bike Left","Bike Left","Moto gira a SX","Bike Left","Vélo Gauche","自行車左轉","Bike Left","Bike Left","自行车左",
"STR_EXPANSION_BIKE_ROTATE_RIGHT","Bike Right","Bike Right","Otočení kola doprava","Motorrad Rechts","Велосипед направо","Bike Right","Bike Right","Moto gira a DX","Bike Right","Vélo Droite","自行車右轉","Bike Right","Bike Right","自行车右",
"STR_EXPANSION_BIKE_TURBO","Bike Turbo","Bike Turbo","Turbo na kole","Motorrad Turbo","Велосипед ускорение","Bike Turbo","Bike Turbo","Moto Turbo","Bike Turbo","Vélo Turbo","自行車增壓","Bike Turbo","Bike Turbo","自行车涡轮",
"STR_EXPANSION_BOAT_MOVEBACKWARD","Boat Move Backward","Boat Move Backward","Loď dozadu","Boot rückwärts","Назад(лодка)","Kierowanie Łódką W Tył","Hajó Hátramenet","Motore Barca Indietro","Barco marcha atras","Marche arrière du bateau","船後退","Barco Mover - Trás","船舶・後進","船舶后退",
"STR_EXPANSION_BOAT_MOVEFORWARD","Boat Move Forward","Boat Move Forward","Loď dopředu","Boot vorwärts","Вперёд (лодка)","Kierowanie Łódką W Przód","Hajó Előremenet","Motore Barca Avanti","Barco accelerar","Marche avant du bateau","船前進","Barco Mover - Frente","船舶・前進","船舶前进",
"STR_EXPANSION_BOAT_ROTATE_LEFT","Boat Rotate Left","Boat Rotate Left","Loď doleva","Boot links drehen","Влево (лодка)","Obracanie Łódką W Lewo","Hajó Fordulás JOBBRA","Gira Barca a Sinistra","Barco giro izquierda","Rotation du bateau à gauche","船左轉","Barco Rotacionar - Esquerda","船舶・左回転","船舶左转",
"STR_EXPANSION_BOAT_ROTATE_RIGHT","Boat Rotate Right","Boat Rotate Right","Loď doprava","Boot rechts drehen","Вправо (лодка)","Obracanie Łódką W Prawo","Hajó Fordulás BALRA","Gira Barca a Destra","Barco giro derecha","Rotation du bateau à droite","船右轉","Barco Rotacionar - Direita","船舶・右回転","船舶右转",
"STR_EXPANSION_BOAT_TURBO","Boat Turbo","Boat Turbo","Lodní turbo","Boot Turbo","Ускорение (лодка)","Turbo Łodzi","Hajó Turbó Fokozat","Turbo Barca","Turbo de Barco","Turbo du bateau","船增壓","Barco - Turbo","船舶・ターボ","船舶加速",
"STR_EXPANSION_CAR_KEYS","Car Keys","Car Keys","Klíče do auta","Fahrzeugschlüssel","Ключи от машины","Kluczyki Do Samochodu","Car Keys","Chiavi dell' Auto","Llaves de auto","Clés de voiture","汽車鑰匙","Chaves do Carro","乗物の鍵","车钥匙",
"STR_EXPANSION_CAR_KEYS_DESC","Used to lock and unlock a vehicle.","Used to lock and unlock a vehicle.","Slouží k zamykání a odemykání vozidel.","Wird benutzt, um ein Fahrzeug zu verschließen.","Используются для открытия и закрытия техники.","Używane do zamykania i otwierania pojazdu.","Used to lock and unlock a vehicle.","Utilizzate per aprire o chiudere un veicolo","Se usa para cerrar y abrir un vehiculo.","Utilisé pour vérouiller et dévérouiller un véhicule.","用於鎖定和解鎖車輛。","Usada para trancar e destrancar um veículo.","乗物の鍵を開け閉めに使用されます","用来锁车或者给车开锁。",
"STR_EXPANSION_CAR_MASTER_KEYS_DESC","Used to lock and unlock a vehicle. This Key can pair other keys to the same car. Uses left:","Used to lock and unlock a vehicle. This Key can pair other keys to the same car. Uses left:","Používá se k uzamčení a odemčení vozidla. Tento klíč může být párován s dalšími klíči k témuž autu. Použití zbylo:","Wird benutzt, um ein Fahrzeug zu verschließen. Dieser Schlüssel kann andere Schlüssel mit demselben Fahrzeug verbinden. Benutzungen übrig:","Используется для блокировки и разблокировки автомобиля. Этот ключ может соединять другие ключи с тем же автомобилем. Использование слева:","Used to lock and unlock a vehicle. This Key can pair other keys to the same car. Uses left:","Used to lock and unlock a vehicle. This Key can pair other keys to the same car. Uses left:","Usato per bloccare o sbloccare un veicolo. Questa chiave può associare altre chiavi alla stessa auto. Utilizzi rimasti:","Se usa para abrir y cerrar un vehículo. Esta llave permite emparejar otras llaves con el mismo vehículo. Usos restantes:","Utilisé pour verrouiller et déverrouiller un véhicule. Cette clé peut associer d'autres clés à la même voiture. Utilisations restantes:","用於鎖定和解鎖車輛。此鑰匙可以將其他鑰匙配對到同一輛車上。剩餘使用次數：","Used to lock and unlock a vehicle. This Key can pair other keys to the same car. Uses left:","Used to lock and unlock a vehicle. This Key can pair other keys to the same car. Uses left :","用于锁定和解锁车辆，该钥匙可以将其他钥匙与同一辆汽车配对。左使用：",
"STR_EXPANSION_CONNECT_TOW","Tow Vehicle","Tow Vehicle","Připojit k tažnému vozidlu","Abschleppen","Буксировать автомобиль","Tow Vehicle","Tow Vehicle","Traina veicolo","Arrastrar vehículo","Remorquer le véhicule","拖曳車輛","Tow Vehicle","Tow Vehicle","牵引车辆",
"STR_EXPANSION_CONNECT_WINCH","Winch Vehicle","Winch Vehicle","Připojit k navijáku","Winde anbringen","Автомобильная лебедка","Winch Vehicle","Winch Vehicle","Aggancia al verricello","Conectar vehículo","Treuillier le véhicule","電動絞車車輛","Winch Vehicle","Winch Vehicle","绞车",
"STR_EXPANSION_DISCONNECT_TOW","Disconnect Vehicle","Disconnect Vehicle","Odpojit vozidlo","Winde entfernen","Перестать буксировать","Disconnect Vehicle","Disconnect Vehicle","Sgancia veicolo","Dejar de arrastrar vehículo","Déconnecter le véhicule","斷開車輛","UnTow Vehicle","UnTow Vehicle","Un 牵引车辆",
"STR_EXPANSION_DISCONNECT_WINCH","UnWinch Vehicle","UnWinch Vehicle","Zrušit připojení vozidla","Winde lösen","Отсоединить лебёдку","UnWinch Vehicle","UnWinch Vehicle","Sgancia Verricello","Desconectar Vehículo","Détacher le véhicule","解除車輛絞纏","UnWinch Vehicle","UnWinch Vehicle","Un 绞车",
"STR_EXPANSION_GLOWPLUG","Glow Plug","Glow Plug","Svíčka","Glühkerze","Свеча накаливания","Glow Plug","Glow Plug","Candeletta","Bujia de Barco","Bougie de préchauffage","點火塞","Glow Plug","Glow Plug","电热塞",
"STR_EXPANSION_GLOWPLUG_DESC","A heating device used to aid starting engines.","A heating device used to aid starting engines.","Svíčka je zařízení používané k startování motorů.","Eine Kaltstarthilfe für bestimmte Motoren.","Нагревательное устройство, используемое для запуска двигателей.","A heating device used to aid starting engines.","A heating device used to aid starting engines.","Elemento elettronico per l'accensione termica del combustibile","Una bujia crea chispas con un tiempo determinado para poder producir explosiones","Un dispositif de chauffage utilisé pour aider à démarrer les moteurs.","用於幫助啟動發動機的加熱裝置。","A heating device used to aid starting engines.","A heating device used to aid starting engines.","用于帮助启动发动机的加热装置。",
"STR_EXPANSION_HELICOPTER_ANTI_TORQUE_LEFT","Helicopter Anti Torque Left","Helicopter Anti Torque Left","Vrtulník zadní rotor doleva","Helicopter Anti Torque Left","Анти-кручение влево (вертолёт)","Anty-Moment Śmigłowca W Lewo","Helicopter Anti Torque Left","Rotore di Coda a Sinistra","Rotar Izquierda","Hélicoptère Anti Couple gauche","直升機反扭左","Rodar Esquerda","Helicopter Anti Torque Left","直升机左转矩",
"STR_EXPANSION_HELICOPTER_ANTI_TORQUE_RIGHT","Helicopter Anti Torque Right","Helicopter Anti Torque Right","Vrtulník zadní rotor doprava","Helicopter Anti Torque Right","Анти-кручение вправо (вертолёт)","Anty-Moment Śmigłowca W Prawo","Helicopter Anti Torque Right","Rotore di Coda a Destra","Rotar derecha","Hélicoptère Anti Couple droite","直升機反扭右","Rodar Direita","Helicopter Anti Torque Right","直升机右转矩",
"STR_EXPANSION_HELICOPTER_BATTERY","Helicopter Battery","Helicopter Battery","Baterie do helikoptéry","Hubschrauberbatterie","Аккумулятор для вертолёта","Bateria Helikoptera","Helikopter akkumulátor","Batteria per Elicottero","Bateria de Helicoptero","Batterie d'hélicoptère","直升機電池","Bateria de Helicóptero","ヘリ用バッテリー","直升机电池",
"STR_EXPANSION_HELICOPTER_BATTERY_DESC","A rechargeable battery, storage battery, secondary cell, or accumulator is a type of electrical battery which can be charged, discharged into a load, and recharged many times, as opposed to a disposable or primary battery, which is supplied fully charged and discarded after use.","A rechargeable battery, storage battery, secondary cell, or accumulator is a type of electrical battery which can be charged, discharged into a load, and recharged many times, as opposed to a disposable or primary battery, which is supplied fully charged and discarded after use.","Dobíjecí baterie, akumulátory, sekundární články nebo akumulátory jsou druhy elektrických baterií, které lze nabíjet, vybíjet do zátěže a mnohokrát dobíjet, na rozdíl od jednorázové nebo primární baterie, která je dodávána plně nabitá a vyřazená po použití.","Eine wiederaufladbare Batterie, Akku oder Sekundärzelle ist eine Art einer elektrischen Batterie, welche mehrfach aufgeladen und entladen werden kann, im Gegensatz zu Einwegbatterien, welche nur einmal genutzt werden können.","Перезаряжаемая батарея, аккумуляторная батарея, или аккумулятор - это тип электрической батареи, которая может быть заряжена и перезаряжена много раз, в отличие от одноразовой батареи, которая поставляется полностью заряженной и утилизируется после использования.","Bateria,lub akumulator, jest typem elektronicznej baterii którą można naładować, rozładować ładunek, oraz naładować wielę razy, w porównaniu do zwykłej baterii, która jest dostarczona w pełni załadowana, i którą się wyrzuca po użytku.","Az újratölthető elem, akkumulátor, másodlagos elem vagy akkumulátor olyan típusú elektromos akkumulátor, amelyet többször is fel lehet tölteni, kisütni és újratölteni, szemben az eldobható vagy elsődleges akkumulátorral, amelyet teljesen feltöltve szállítanak, merülés után eldobható.","Una batteria ricaricabile, batteria secondaria o accumulatore, è un tipo di batteria elettrica che può essere ricaricata, scaricata e ricaricata più volte, al contrario delle batterie primarie che sono vendute cariche e inutilizzabile una volta esaurite.","Una batería recargable, batería de almacenamiento, celda secundaria o acumulador es un tipo de batería eléctrica que se puede cargar, descargar en una carga y recargar muchas veces, a diferencia de una batería desechable o primaria, que se suministra completamente cargada y desechada después de utilizar.","Une batterie d'accumulateurs, ou plus communément une batterie, est un ensemble d'accumulateurs électriques reliés entre eux de façon à créer un générateur électrique de tension et de capacité désirée. Ces accumulateurs sont parfois appelés éléments de la batterie ou cellules.","可充電電池，儲能電池，二次電池或蓄電池是一種可以充電，放電到負載，並多次充電的電池，與一次性或主要電池相對，後者在使用後被丟棄。","Uma bateria recarregável, bateria de armazenamento, célula secundária ou acumulador é um tipo de bateria elétrica que pode ser carregada, descarregada em uma carga e recarregada várias vezes, em oposição a uma bateria descartável ou primária, fornecida totalmente carregada e descartada após usar.","充電可能なバッテリー。一般的な使い捨て電池などとは異なり、充電器などを利用して繰り返し使用が可能なバッテリーです。","可充电电池、蓄电池或者二次电池可以多次充电使用。单次电池仅能使用一次。",
"STR_EXPANSION_HELICOPTER_COLLECTIVE_DOWN","Helicopter Collective Down","Helicopter Collective Down","Vrtulník kolektiv dolů","Helicopter Collective Down","Тяга вниз (вертолёт)","Kolektyw Śmigłowca W Dół","Helicopter Collective Down","Collettivo Elicottero Giù","Descender","Hélicoptère Collectif Descendre","直升機集體下降","Pitch Baixo","Helicopter Collective Down","直升机下降",
"STR_EXPANSION_HELICOPTER_COLLECTIVE_UP","Helicopter Collective Up","Helicopter Collective Up","Vrtulník kolektiv nahoru","Helicopter Collective Up","Тяга вверх (вертолёт)","Kolektyw Śmigłowca W Góre","Helicopter Collective Up","Collettivo Elicottero Su","Ascender","Héli coptèreCollectif Monter","直升機集體上升","Pitch Cima","Helicopter Collective Up","直升机上升",
